948	69	2
131	54390	2
7782	5743	3
36815	36816	2
40291	2493	2
656	804	2
2089	570	3
23568	3081	3
4224	7006	2
2733	2642	2
133	67393	2
21905	61772	2
232	807	3
1294	61951	2
1626	2564	3
4493	51406	2
75771	75772	2
5331	12076	3
22406	31653	3
2525	11701	3
400	52406	2
206	24825	3
25	11784	3
10037	77511	2
5500	64152	2
31729	60168	2
757	40225	2
3159	7389	3
20716	20717	3
35703	35704	3
34	34231	3
32831	1346	2
35261	555	3
868	31150	3
1177	58882	2
57424	401	2
68488	68489	2
7842	436	2
56093	56094	2
5181	5182	3
3762	17142	3
5481	166	3
301	47997	2
25	53905	2
22413	807	3
3582	23133	3
4809	6405	3
38405	2083	2
298	2201	3
2113	5854	2
1517	1626	2
1285	1286	4
1178	5229	3
26984	169	2
50183	63959	2
43928	43929	2
871	60280	2
5525	5526	3
871	63461	2
23052	5027	3
67587	12328	2
1715	30157	3
1222	7555	3
1745	8372	3
38518	38519	2
25	58260	2
2958	1839	2
3683	15134	3
10337	2058	2
39525	1146	2
60562	60563	2
2246	86	3
11322	20167	3
1175	61437	2
3625	3749	3
38576	1839	2
666	24709	3
6157	6158	3
7930	52738	2
10288	10289	3
45109	52552	2
26427	108	2
68913	68914	2
49007	49008	2
58444	1422	2
524	21361	2
5934	1871	3
51631	51632	2
50321	50322	2
64	36231	3
845	6	2
34617	1372	3
609	35778	3
149	555	2
2308	28462	3
654	11901	3
574	2833	4
1883	14415	3
2632	683	2
871	64470	2
20309	291	3
1299	27105	3
942	65655	2
3743	35888	3
301	4769	3
37	2	3
2399	3820	3
21079	21080	3
69	1896	3
949	15	1
6758	23161	3
25	75006	2
31681	31682	3
47744	12742	2
3894	11103	3
5222	47789	2
140	27889	3
688	55265	2
30	73147	2
37	18506	3
1961	72671	2
1628	4373	4
2528	4261	3
37539	37540	2
32970	104	3
76712	536	2
22665	37211	2
3506	18303	3
281	282	4
1919	39658	2
14615	51796	2
1462	8075	3
3243	22352	3
974	7970	3
71120	71121	2
871	63911	2
5576	15485	3
16023	76364	2
53069	53070	2
1422	32055	3
36133	1573	3
44040	44041	2
1924	7955	3
21090	5933	2
43714	43715	2
64	8067	3
9500	50764	2
37	23579	2
3394	19529	3
236	55589	2
746	33977	3
650	2355	3
2901	3242	3
491	14469	3
424	30516	3
20350	77635	2
43793	43794	2
3138	11520	3
999	1654	2
36773	36774	2
2056	7241	3
254	2793	3
51338	1810	2
3595	1680	2
1981	73237	2
1257	68137	2
71392	71393	2
23745	50141	2
871	50023	2
10701	786	3
301	54230	2
69	26686	3
233	722	2
5071	2278	3
69	3538	3
2491	12918	3
69848	69849	2
69388	69389	2
84	38426	2
2547	2488	3
6887	3394	3
20768	9021	2
237	21025	3
2727	73618	2
48972	48973	2
1664	41165	2
6773	273	2
22735	35185	3
5409	7134	3
75140	75141	2
575	2740	3
2087	4243	3
3001	582	4
1503	36545	2
23	383	2
74333	74334	2
5660	1946	2
1354	33644	3
71069	69403	2
5204	14254	3
2283	77702	2
2281	25594	3
21330	1250	3
4877	32189	3
237	10062	1
50619	50620	2
599	24221	3
368	5933	3
65001	45382	2
329	330	4
60	52262	2
87	3846	2
797	5088	3
54862	175	2
807	6983	3
69	66654	2
70187	70188	2
2481	1663	4
63829	63830	2
8008	5104	3
527	34170	3
2560	64873	2
52682	52683	2
4440	1605	2
1940	38485	2
56077	14546	2
75	1927	3
4630	2005	3
3912	57185	2
133	67541	2
4637	7363	3
698	27631	3
1422	298	4
4693	10176	2
4259	485	3
1791	5475	2
64571	64572	2
77	67186	2
1400	49950	2
3468	1378	3
678	4902	3
69675	69676	2
960	49045	2
34784	1751	3
4536	4537	3
3040	804	4
312	13430	2
44696	44697	2
31264	31265	3
114	343	3
5623	2088	2
69309	69310	2
4054	4055	4
4408	46921	2
18526	5064	3
1519	13083	3
12581	9	3
5799	39970	2
42040	42041	2
298	2175	2
5271	9204	3
52479	63940	2
224	769	4
69	78235	2
1947	68	2
1781	1596	3
17844	32948	2
165	9124	3
736	304	3
4895	51527	2
621	74288	2
5222	54520	2
25045	39360	2
3016	17647	3
1118	2324	4
2258	1109	2
52435	52436	2
19258	36077	3
49566	49567	2
1769	1778	4
32961	1215	3
429	57763	2
19098	26125	3
302	108	1
4127	686	2
1083	26477	3
8272	8273	3
807	6771	3
7564	3675	3
55660	55661	2
6288	62105	2
10466	66	3
51651	45829	2
7269	7270	3
785	24818	3
10466	6563	3
871	63189	2
23	6475	3
37	16428	3
2163	756	2
1932	498	2
2325	57710	2
539	540	4
16	4434	3
1786	10468	3
5488	46926	2
10037	1922	2
5454	2287	3
22048	241	2
7930	76265	2
7712	10786	2
16581	20540	3
983	983	3
3689	19756	3
65525	17600	2
1527	1545	2
21780	43	3
528	6623	3
6201	36318	2
20242	26539	2
2152	33322	3
6591	28995	2
75	51064	2
188	10275	3
1208	332	3
69	43664	2
3875	15213	3
69764	69765	2
5452	68675	2
40651	40652	2
50310	50311	2
67	19850	3
3759	50331	2
760	30026	3
37	4490	3
5949	17345	3
2470	77492	2
948	1001	4
55976	53939	2
62311	62312	2
2424	2962	3
1266	4451	3
557	556	3
3386	62579	2
1838	2800	3
69	8905	2
200	19453	3
3121	27518	3
1448	1962	4
2696	5693	3
44442	1590	2
1669	10138	3
871	62899	2
5964	7164	3
5622	5623	3
1507	3299	4
1715	30164	3
1047	2219	4
36108	36077	3
1802	53821	2
871	63675	2
33132	33133	3
951	952	4
6	53191	2
1419	77817	2
33841	33842	3
38737	1051	2
70543	70544	2
426	10182	3
48	58981	2
1661	1897	2
10848	3599	3
1408	23671	3
10908	411	2
392	1052	3
3181	3638	4
40985	40986	2
2992	5497	3
129	17985	3
2502	7346	3
4804	705	3
1795	59696	2
462	60346	2
34131	40209	2
3248	29763	3
2717	9850	3
2170	3856	3
682	999	2
3762	15783	3
767	3331	3
60911	60912	2
462	10641	2
75	5722	3
30847	30848	3
1422	16236	3
248	20485	3
41487	942	2
23	11557	3
39703	39704	2
18333	14385	3
38977	12079	2
48260	48261	2
27278	28443	3
4244	7943	3
22658	58250	2
3722	9955	3
4538	46631	2
69	3020	3
2173	527	2
8659	5626	3
36470	62217	2
4565	53810	2
4300	23994	3
10944	10945	3
21509	4876	3
9363	3354	2
5205	298	3
13353	46268	2
15128	24221	2
129	30981	3
2456	23890	3
10276	49278	2
74021	74022	2
23	31077	3
57552	57553	2
4624	6985	3
5318	17334	3
74854	133	2
3287	27051	3
871	3077	3
1851	56157	2
77355	77356	2
2594	25643	3
6242	12359	3
1664	40589	2
245	60266	2
56473	56474	2
14455	319	2
2886	9015	3
8	1827	2
1892	5683	3
22871	27076	2
7648	1698	2
1388	11322	2
62210	62211	2
5071	1069	1
17246	37144	2
8415	16954	3
205	48165	2
162	2277	3
871	46786	2
